Thickness,Na,TiO2_Th,Bulk_def,Temp,IF_def,Affinity,JsC,Voc,FF,PCE
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.00E+02,1.00E+10,3.70E+00,26.72514911,1.04897,81.7995,22.9316
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.00E+02,1.00E+10,3.90E+00,26.71484361,0.913072,82.7723,20.1903
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.00E+02,1.00E+10,4.10E+00,26.74382662,0.708089,79.9545,15.141
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.00E+02,1.00E+11,3.70E+00,26.72512986,1.047009,81.8608,22.9059
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.00E+02,1.00E+11,3.90E+00,26.71482514,0.913071,82.7718,20.1901
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.00E+02,1.00E+11,4.10E+00,26.74380917,0.708089,79.9545,15.141
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.00E+02,1.00E+12,3.70E+00,26.72493739,1.032037,82.2894,22.6964
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.00E+02,1.00E+12,3.90E+00,26.71464044,0.913064,82.7672,20.1887
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.00E+02,1.00E+12,4.10E+00,26.74363467,0.708088,79.9536,15.1407
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.25E+02,1.00E+09,3.70E+00,26.72525077,1.006151,82.6039,22.2119
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.25E+02,1.00E+09,3.90E+00,26.7098642,0.876722,81.8507,19.1671
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.25E+02,1.00E+09,4.10E+00,26.73790345,0.673524,78.5378,14.1436
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.25E+02,1.00E+10,3.70E+00,26.72524861,1.006073,82.5998,22.2091
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.25E+02,1.00E+10,3.90E+00,26.70986217,0.876722,81.8507,19.1671
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.25E+02,1.00E+10,4.10E+00,26.73790154,0.673524,78.5378,14.1436
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.25E+02,1.00E+11,3.70E+00,26.72522702,1.00531,82.5607,22.1817
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.25E+02,1.00E+11,3.90E+00,26.7098419,0.876722,81.8503,19.167
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.25E+02,1.00E+11,4.10E+00,26.73788245,0.673524,78.5377,14.1435
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.25E+02,1.00E+12,3.70E+00,26.72501113,0.996357,82.4408,21.952
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.25E+02,1.00E+12,3.90E+00,26.70963919,0.876715,81.8464,19.1657
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.25E+02,1.00E+12,4.10E+00,26.73769148,0.673523,78.5369,14.1433
1.00E+00,1.00E+14,2.00E-02,1.00E+13,3.50E+02,1.00E+09,3.70E+00,26.72705324,0.962787,82.9201,21.3374
